line,axis,unit,rms,peak
oracle,x,mm,0.0293289496680989,0.0991599272830435
oracle,y,mm,0.0477054921881429,0.202790082314497
oracle,z,mm,0.0519493435032798,0.271252383605702
oracle,roll,deg,0.0465454389450118,0.161956206599528
oracle,pitch,deg,0.0388495226585115,0.155896624870833
oracle,yaw,deg,0.0311511882722754,0.146391954683558
identifiedTruthFeedback,x,mm,0.049193959465258,0.184067032032179
identifiedTruthFeedback,y,mm,0.0834813759580141,0.321128679097282
identifiedTruthFeedback,z,mm,0.102817484125101,0.338312400301133
identifiedTruthFeedback,roll,deg,0.104030288449758,0.312788291691323
identifiedTruthFeedback,pitch,deg,0.206068546256279,0.495922091336512
identifiedTruthFeedback,yaw,deg,0.12881099168117,0.311348339964585
identified,x,mm,1.1506667180973,4.89165223814367
identified,y,mm,2.63063470008071,8.65823290234997
identified,z,mm,1.0783888419463,4.54145733795075
identified,roll,deg,0.180873362608677,0.680635867287511
identified,pitch,deg,0.276101218149405,0.845397829014647
identified,yaw,deg,0.176865664815776,0.763139289507119
