line,translationRmsMm,translationPeakMm,rotationRmsDeg,rotationPeakDeg,endpointTranslationMm,endpointRotationDeg,forceTrackingNrmse,alignedForceEstimateRmsN,maxAbsPwm,pwmSaturationRatio
oracle,0.0763854407853263,0.276181937273418,0.0681627451629757,0.214321439320785,0.049349996992663,0.062386342722011,0.0157081457104079,0,3896.74497490701,0
identifiedTruthFeedback,0.141282061216306,0.351012288020268,0.264346019922757,0.558730800630122,0.132323408640884,0.33782051164858,0.0195479639733973,59.0631743957251,4108.67439366492,0
identified,3.06711514551375,8.72052544659304,0.374470985999826,1.13616127971512,4.53801222520685,0.552656321549236,0.0275790645509259,62.7356349297962,4198,0.00122140795025539
