caseName,method,solverBackend,fatropStructure,N1,N2,numVariables,numEq,numIneq,solverStatus,solverSuccess,engineeringPassed,fatropStructureHealthy,buildTime_s,solveTime_s,totalTime_s,objective,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_hess_l,time_hess_l,maxEqResidual,maxIneqViolation,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,stage2Passed,fatrop_return_flag,degenerateJacobianCount,failureReason
NATIVE-HS-IPOPT,FATROP_NATIVE_HS,ipopt,,2,1,NaN,NaN,NaN,FAILED_AT_INITIALIZATION,0,0,1,0.0052485,NaN,0.0052485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,NaN,错误: 文件: D:\NPU\Matlab_code\stewart-simscape\opt_minimal\buildCasadiFatropNativeHSNLP.m 行: 1 列: 20 局部函数不能与脚本同名。
NATIVE-HS-FATROP,FATROP_NATIVE_HS,fatrop,,2,1,NaN,NaN,NaN,FAILED_AT_INITIALIZATION,0,0,1,0.0031586,NaN,0.0031586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,NaN,错误: 文件: D:\NPU\Matlab_code\stewart-simscape\opt_minimal\buildCasadiFatropNativeHSNLP.m 行: 1 列: 20 局部函数不能与脚本同名。
