candidate,gainConfig,forceCorrectionLimit,robustScore,meanRmsMm,worstRmsMm,meanPeakMm,worstPeakMm,worstRotationPeakDeg,meanForceNrmse,maxPwm
2,1,750,6.42720606637539,1.29909477328057,1.53871862478988,5.90705639719458,7.80800460876018,0.86027018288584,0.0181919402914444,2744.72317967586
3,1,1000,6.74842686513402,1.49422426242247,2.1129342510606,6.42134049599647,8.04407165629626,0.86027018288584,0.0185948295838787,2744.72317967586
4,1,1500,6.74842686513402,1.49422426242247,2.1129342510606,6.42134049599647,8.04407165629626,0.86027018288584,0.0185948295838787,2744.72317967586
5,1,2000,6.74842686513402,1.49422426242247,2.1129342510606,6.42134049599647,8.04407165629626,0.86027018288584,0.0185948295838787,2744.72317967586
7,2,750,6.81088910211536,1.4967387454838,1.65333173074618,6.99253893310923,8.48619545548005,0.735739927410296,0.0167656350740617,2387.04032334689
8,2,1000,6.81088910211536,1.4967387454838,1.65333173074618,6.99253893310923,8.48619545548005,0.735739927410296,0.0167656350740617,2387.04032334689
9,2,1500,6.81088910211536,1.4967387454838,1.65333173074618,6.99253893310923,8.48619545548005,0.735739927410296,0.0167656350740617,2387.04032334689
10,2,2000,6.81088910211536,1.4967387454838,1.65333173074618,6.99253893310923,8.48619545548005,0.735739927410296,0.0167656350740617,2387.04032334689
6,2,500,7.18884899319615,1.64700164767427,2.19601189732355,7.75029505831745,9.66499636576777,0.385993799418233,0.016167768160988,2395.00703572171
1,1,500,7.26121769300641,1.38018616359553,2.29708752413792,5.62028440933846,9.57872608021819,0.727155983275972,0.0182256253012903,2601.07330345119
