candidate,positionScale,rateScale,integralScale,robustScore,meanRmsMm,worstRmsMm,meanPeakMm,worstPeakMm,worstRotationPeakDeg,meanForceNrmse
17,0.7,0.5,0,6.74842686513402,1.49422426242247,2.1129342510606,6.42134049599647,8.04407165629626,0.86027018288584,0.0185948295838787
16,0.7,0.3,0.25,6.81088910211536,1.4967387454838,1.65333173074618,6.99253893310923,8.48619545548005,0.735739927410296,0.0167656350740617
8,0.5,0.15,0.25,7.53866434901191,1.38068487300205,1.69809946406274,6.90870350837606,10.3198545882374,0.696506441946992,0.0150772869972086
4,0.3,0.3,0.25,7.60485332272887,1.8648472234119,2.50203676727059,7.63234213421254,9.07665689097726,0.876722463632502,0.0162477595097916
9,0.5,0.3,0,7.64419703716356,1.44844381248973,2.33779376560151,6.70169945690956,10.6922514264851,0.531649062714546,0.0158989224358356
15,0.7,0.3,0,7.70051613056648,1.43107920831476,1.84852231236714,6.9088383853192,10.1812399053223,0.875306621443979,0.0151755174073299
18,0.7,0.5,0.25,7.80259134825019,1.78648608778855,2.77098793219013,7.36794858849063,9.45952232208166,0.896171654514377,0.019508622245322
7,0.5,0.15,0,7.92763464852043,1.56561498974629,2.14025944940656,7.96908944406398,10.9684405432881,0.580545597912283,0.0148626894608907
14,0.7,0.15,0.25,7.94564805490451,1.2102692956145,1.85551875064724,6.21721639663065,11.6447874963701,0.612961281606512,0.0150011864749232
12,0.5,0.5,0.25,8.00144977402589,1.9305469059672,3.40917901129113,7.16269136093014,9.55845638746648,0.922119904895256,0.0184777384715099
2,0.3,0.15,0.25,8.08723667519187,1.6024044859879,2.25248609558267,6.82205642257458,10.6084601900318,0.870693540924122,0.0154954276631982
13,0.7,0.15,0,8.25962723327343,1.49787913099592,2.07123945589947,7.81002726977804,11.2934141993677,0.787062137412222,0.0163989432590717
10,0.5,0.3,0.25,9.64230635111613,1.96125162610615,2.96968207523938,8.61510285974053,13.8013417428876,0.458970845264602,0.0160706504150777
1,0.3,0.15,0,11.0886639133658,2.0762930428247,3.37851819201603,9.34216633473115,15.8418972943413,0.772929288700494,0.0159246467334962
5,0.3,0.5,0,11.2689061480291,2.50053100203923,4.05527707802346,8.65399637967977,14.6350485418029,1.05775801139818,0.0196546431845134
11,0.5,0.5,0,11.5416538785061,2.38717706249535,3.43021611965819,9.40191374216236,14.3228070416876,1.62177383187959,0.0185649731643694
3,0.3,0.3,0,12.7552302920104,2.36014332718563,4.41639007780964,10.2420917384758,18.1492792674387,0.9730494812829,0.0173698924911248
6,0.3,0.5,0.25,14.2330301972009,3.28001629979257,5.11771470385415,11.2253038114569,19.4568448862759,0.823581529535814,0.020050496236729
