rotationScale,rotationRateScale,score,trackRmsMm,trackPeakMm,rotationRmsDeg,rotationPeakDeg,forceNrmse,maxPwm
1.25,1,2.65686560345599,1.01916424869896,3.26934813011384,0.0747346076642644,0.261612865455915,0.0199516651119733,2476.25419713303
1,1,2.83640522885944,0.979953568231105,3.33763736329253,0.137801358090461,0.519194419745232,0.0176961499864228,2546.23383301986
0.75,1.25,3.62566358701602,1.33738556705712,4.65378089824919,0.177561810339861,0.483345091109508,0.0188120188183811,2511.66811727302
0.5,1,3.77221346047335,1.39802311312835,5.21466712380787,0.176150267512981,0.462319010312914,0.015500831773531,2223.39327678775
1.25,1.25,3.98425171414689,1.40475682938514,5.63141929697321,0.140010857574719,0.527923662667792,0.019025583711381,2433.59399855901
0.25,0.75,4.15862709832644,1.40723726361544,5.49487326569619,0.254262355600867,0.698475984175925,0.0179866155239066,2638.97704208617
1,1.25,4.48884399788502,1.95956299810039,5.49996901432232,0.147128816400616,0.491082590070892,0.0194201833018845,2588.07996402509
1,0.5,4.85469140228457,1.84214745153547,5.65427372560077,0.29421762236207,0.944116852579181,0.0180581206950688,2208.84806282982
0.5,1.25,5.33701058800033,2.10735124062875,7.77357553493682,0.153382953828083,0.452038742919093,0.0213888306509545,2482.08199356914
0.5,0.25,5.35138463799515,1.98382261157032,5.87251203766656,0.403119112732876,1.10495437219026,0.0214610620929404,2103.83213717212
1.25,0.75,5.40142454556653,1.99729237092386,8.82223620092677,0.104431731120238,0.389511765205721,0.0190185673800195,2797.99953617253
0.5,0.5,5.49105451719271,1.96412552532383,7.03340504726122,0.33365715233843,0.944556072689974,0.0211030537234556,2582.07805578252
1.25,0.25,5.91087510470475,2.07502185973153,8.82302699784507,0.244671824936336,0.816005291953319,0.0186534808158018,2427.21718300286
0.75,1,6.10917185107927,2.21472749867958,8.38198519125412,0.372329006445251,0.959702094378777,0.0167864161256527,1948.08277853268
0.25,1,6.40622181009279,2.64149889764054,10.1858092334172,0.135010065800073,0.364222533208796,0.0159507151690422,2367.32143483149
0.75,0.5,6.70552933461619,2.45552564310258,8.37976651308435,0.459450622526043,1.13485920120418,0.0241110837109667,2910.59535936226
0.75,0.75,6.72594049262094,2.67781558001208,10.2275958166978,0.157021009917437,0.566426625196084,0.0213163260022405,2859.78286704816
1,0.25,7.06295337527774,2.73023435807694,7.21545836221059,0.50197460339394,1.63052652911995,0.0262369167379862,2559.69953833546
0.25,0.25,7.90376052740997,2.7263137177367,8.75874561428937,0.83752729103029,1.91218242661042,0.018688406786444,2478.14087270597
1.25,0.5,8.43992601633025,3.45100888300751,13.103029695084,0.23557651030879,0.633495401182538,0.0189492466830492,2244.03768812861
0.25,1.25,8.50199880230941,3.40396318475193,12.6103396532286,0.217310256716294,0.833167634128862,0.0257203060491195,2688.8665067268
0.5,0.75,9.71795395227764,3.98401946372048,13.8419715441947,0.377938519758589,1.06244249746397,0.0229847378657693,2388.23010223888
0.25,0.5,10.226063149732,3.56635281837672,15.6299660711441,0.502301073448093,1.52359884485771,0.0200950122581768,2792.23530918063
1,0.75,13.5365565551126,5.26931983093811,22.2063550029308,0.397469525502195,1.00783597838886,0.0251187756460449,3255.11182091373
0.75,0.25,16.2503053580942,6.30282559450493,23.3515130477576,0.697345960921124,2.49365073240013,0.02495621878304,2554.23026243848
