candidate,seed,trackRmsMm,trackPeakMm,rotationPeakDeg,forceNrmse,maxPwm,passed
1,7,1.56715556309768,10.1429046332211,1.29593960937745,0.019851756505909,3983.60143771758,0
1,19,0.990608042032676,7.80800460876018,1.30660778164481,0.0180310854996547,3931.86901992937,1
1,41,0.903026641460664,4.7996698349361,0.857459161525679,0.017854120471853,4005.88500999846,1
1,73,1.02527809545784,5.13507546336626,0.656896206618966,0.016140898671484,4198,1
1,101,1.17691759949573,6.10500758389482,1.0423212317624,0.0179590008049739,3479.91550168649,1
2,7,0.851279825190682,5.70218593016163,0.741246074299082,0.013842406524713,3342.24791672718,1
2,19,1.25982312702294,7.15395350242327,1.2506768421875,0.0154074180548466,3647.84561422595,1
2,41,0.949982203663911,7.45715421075842,0.961909216165093,0.0134462031922694,3385.812669701,1
2,73,1.57782776922921,9.08711891391142,1.2803392552117,0.0162736169531233,3692.44157133119,1
2,101,1.03283933511809,7.55691464564254,1.04757109754735,0.0160147602230771,3933.61112694872,1
