positionScale,rateScale,integralScale,score,trackRmsMm,trackPeakMm,rotationPeakDeg,feedbackRmsMm,forceNrmse,maxPwm
0.5,0.75,0.5,4.29413296563664,2.03228753447542,4.87211091538111,0.737074234429747,0.698756917778503,0.0215837519666007,2584.79812112077
0.75,1,0.25,4.38216807410064,1.75338923191668,4.98763692363769,1.02270302934188,0.640216558216946,0.0310568125210853,3850.2846521753
0.75,0.5,0,4.61720905440857,1.94748072596902,6.64533055656247,0.427182002320112,0.987606312444076,0.0231269080155376,2478.43414271733
0.5,1,0.25,4.65682514609644,1.7716785718393,7.4927818140604,0.299359645538509,0.663060148616725,0.0243816103634882,2921.43242948079
0.3,0.15,0.5,4.69470118229082,1.77988402810751,8.06599239631423,0.520066583329378,1.06427634000691,0.0117493071812177,1919.89304729335
0.15,0.75,0,4.72437432363606,2.37168074844648,5.77629644966902,0.420086672435421,0.495678305432018,0.0204880652035582,3433.8462918457
0.15,0.15,0.25,4.81004912651323,2.37649992991854,6.81510494698626,0.2907618663141,0.829954004838266,0.0121818389670879,1913.26246383414
1,0.5,0.25,4.81872952749723,1.70779816447579,7.14789153719258,0.980155986555541,0.830823479508624,0.023824295429295,2479.93905360092
0.5,0.3,0.25,4.95573021103726,1.9889651889949,7.62882521282227,0.715238198618784,0.906831491440599,0.0160249179443143,2089.90178667094
1,0.75,0,4.97844612064067,1.91608591728738,8.35197406407836,0.276631163406901,0.747612466555656,0.0209226201213165,2419.17564949567
1,0.75,0.5,5.03934467580981,1.96819652064459,7.4048258661836,0.739399909420904,0.81379783636691,0.0240000220299844,2947.12259586524
0.3,0.5,0,5.08598729052582,2.20043766477652,7.41538363235085,0.563985808179032,0.89499415304279,0.0189470815977264,2311.82645650137
0.5,0.5,0.25,5.27247620747084,2.24198664621467,8.14411299605978,0.428562091350851,0.85139912132572,0.0186487308381407,2464.53341512927
0.75,0.3,0.5,5.36084789608848,1.90128723197937,9.69871161219032,0.379145867865001,1.01146882659597,0.0180187123259756,2243.63171715745
0.15,0.15,0,5.65664923594184,2.48596502457833,9.4477635545162,0.227443640962896,1.01196419578675,0.0111316662263601,1882.57117020787
0.3,0.15,0.25,5.6848665137205,2.2199988522201,9.52461222322154,0.558607097695837,1.11889713597054,0.016409022284301,2037.91124546104
0.3,1,0,5.73413767508843,2.17686007604064,7.92404785430123,1.35317433285657,0.640655358509141,0.0251738038164567,2894.77193060322
0.75,0.75,0.25,6.01148412316595,2.29773157176404,9.37274311663318,1.01988608872819,0.828773049819113,0.0195993286023932,2518.56641810993
1,0.15,0,6.09413114833879,1.95319557251882,11.9595609697166,0.500537181793821,1.35479244849139,0.0151399347004039,2019.31833392411
0.75,0.15,0,6.23430169589514,2.52938039135711,10.1622046495122,0.562731628747128,1.59369939450906,0.0187447047655396,2029.78297018188
0.75,1,0,6.28039792386495,2.87264178059059,8.13043616287576,0.879309039836889,1.17072924865009,0.0264485387246597,2958.61841308678
0.3,0.3,0,6.43280797109263,2.37788219179096,10.0544474872514,1.31064665639506,1.15058359870713,0.0191634102464353,2174.80496168066
0.5,1,0,6.45953121199691,2.80425520140925,9.77687903966854,0.427826368613948,0.800735206412056,0.0254149557190061,2952.78951313199
1,0.75,0.25,6.69078977557595,2.18680335219174,11.6179052399964,1.14467235434667,1.06161467061274,0.0223139337105976,2921.58483831675
0.5,0.15,0.5,6.79724655544128,2.46562431480218,11.3969015945973,1.11261618963032,1.34305381037326,0.0178121833722377,2116.51747187616
0.15,0.5,0.25,6.94777079026151,3.24231934847176,9.63319917327293,0.77728056158827,1.00709778622243,0.0213425704506869,2824.25970778849
0.75,0.75,0.5,6.95874787916839,3.06761435787978,10.9541541870059,0.350145356999793,1.11254868979084,0.0214907293343469,2520.68635515702
0.15,0.3,0,7.0119585974984,3.0091690054654,10.7267384101216,0.900931561942169,1.08225967839342,0.0167151144012721,2061.38533034143
0.5,0.75,0.25,7.21806278482897,3.25691369076079,9.63291410580701,1.12112801083409,1.16098395398544,0.0255355428454516,3033.18270876921
0.15,0.3,0.25,7.26909391909542,3.36303203258375,10.681653318992,0.711446543516371,1.21789248070407,0.0172921309527952,2194.92774651096
0.75,0.3,0,7.32821561667953,2.60869257533962,13.7405354016587,0.434553412478764,1.40063882768,0.0190042857301459,2239.74569052962
1,0.5,0,7.33326300605313,3.09894870657206,11.6459906560505,0.688472200923696,1.33356174639169,0.0198140501102034,2794.4487322808
0.15,0.75,0.5,7.39382192237544,3.76881481957171,9.62853872652729,0.721145935146974,0.704151125937639,0.0187936258636031,2258.30507203549
0.15,1,0.25,7.41369003161501,3.30151471180091,10.618696568531,0.853039023566534,0.857904940030214,0.0250023418735758,3123.01482794753
0.3,0.5,0.25,7.53999093980147,3.27606756174572,10.9793881574637,1.01586085115526,1.08980170854818,0.0231088252619509,2272.04951780847
0.5,0.75,0,7.55493462713316,3.23843296813104,10.3547451043213,1.43853131405666,0.875729674702392,0.0245406235338702,2857.47026090147
0.5,0.3,0.5,7.58149214678053,3.01713130648061,12.9762940696753,0.557952159451647,1.27321930318642,0.0196248269835755,2003.20068704193
0.5,1,0.5,7.70084515166983,3.63444099971564,11.0617860512375,0.405349156755518,1.17003270623273,0.0272596879102584,2780.96249759814
0.3,0.5,0.5,8.0070402218266,3.87394151959244,11.7695325443631,0.398716681486928,1.02040851040677,0.0201440299090889,2583.52416898577
0.75,0.15,0.5,8.27543998658075,3.0396989375943,14.4740934128468,0.928203607213664,2.15411522238748,0.0214705610762789,2284.90595217047
0.15,0.3,0.5,8.53161511516653,4.17818886834942,10.8691497578935,1.32557968711722,1.34163732850802,0.0214945737945222,2071.01419126009
0.15,0.15,0.5,8.60870411873575,4.2124010017471,12.547243713836,0.634322997854906,1.07070993060293,0.0157484251955203,2142.22098926376
0.75,1,0.5,8.88726472246059,3.75408048668484,13.002961892486,1.30055273372448,1.18009694861343,0.0291009650583855,3551.79306128814
0.15,0.75,0.25,8.92569957341721,4.43623610720165,12.4415233299602,0.662250650208514,0.909801011556098,0.0212940571061615,2564.71230095687
0.75,0.75,0,8.95598565043478,3.42980729752247,14.8948711658308,1.126584097849,1.31237210158854,0.0247212477119281,3058.46028380246
0.3,0.3,0.5,8.98574732483265,4.14892220882363,13.5087268722568,0.752552912938419,1.39994234759216,0.0203965298931384,2205.12948974358
0.3,1,0.5,8.99731232019903,4.13849214121545,13.5826739206885,0.588890969793031,1.13766830121116,0.0244786258940258,3437.62143326273
0.15,0.5,0,9.49791164622825,3.8743188321942,15.7656039715192,0.922461991211084,1.34991232782457,0.0216340313486369,2432.67416741394
0.5,0.5,0.5,9.81942200445603,4.31358653732033,15.4561597979626,1.00574489877066,1.48377720799346,0.0183057539180791,2565.0127977407
0.3,0.75,0.25,9.93117459265571,4.86063799782097,13.3537320743982,1.10948028136855,1.44574697732926,0.0254838415915498,2713.71998571549
1,1,0.25,10.4688314070299,4.55964297519832,16.0087244714255,0.807797532216178,1.67067745308922,0.0351336162147904,4031.34591618168
0.3,1,0.25,11.2125340472233,5.1335876067333,16.7301671295504,1.05888632668373,1.45906450340671,0.0265226569141488,2729.58426273214
0.15,0.5,0.5,12.1826142006677,5.73857065063995,18.7441231880267,0.843457547066548,1.54910257298077,0.0199538910043245,2348.35158836085
0.15,1,0.5,12.2363626909217,6.00513511821332,17.9850960124347,0.75520681318307,1.19410502733243,0.0229047681193234,2969.95238408233
0.3,0.3,0.25,12.5235803883054,5.91635343510349,18.3983833842054,1.30501493628882,1.99283678360782,0.0217602234897948,2138.30825857061
1,1,0.5,13.0224263940924,5.50693878347782,20.6149327487746,1.49927437216761,2.01800845392749,0.0290685299949218,2794.98507259768
0.3,0.75,0,13.4852720646681,6.68622645051442,20.4812096809317,0.434135036892264,1.44875485334313,0.0218807595714021,2456.30649990469
0.15,1,0,16.3951029762348,8.60046498266425,21.9580750589464,1.20743748942862,1.42026122387542,0.0301748365586166,3763.12512601341
