rank,controller,weighted_total_error_ratio,improvement_fraction,noise_median_error_ratio,noise_worst_error_ratio,maximum_combined_regression,controller_p95_s,eligible,better_than_existing,case_count
1,scheduled_lqi_dob,0.187596838190101,0.812403161809899,0.224652932481297,0.731615117753448,-0.897445755704448,0.00097255,0,0,40
2,scheduled_lqi_dob_strict_qp,0.260897754490126,0.739102245509874,0.296634342000752,0.852075526708621,-0.267935827128766,0.01444695,0,0,40
3,fixed_lqi,1,0,1,1,0,6.255e-05,0,0,40
4,strict_qp,1.14125242560361,-0.141252425603613,1.12002956070413,1.97545471336663,0.975454713366632,0.01331555,0,0,40
