rank,controller,weighted_total_error_ratio,improvement_fraction,noise_median_error_ratio,noise_worst_error_ratio,maximum_combined_regression,controller_p95_s,eligible,better_than_existing,case_count
1,strict_qp,1.28073439555294,-0.280734395552942,1.23454223032943,1.55588531441837,0.649279739375413,0.0081401,1,0,10
2,scheduled_lqi_dob,0.201998471744477,0.798001528255523,0.228623269768843,0.407950135523167,-0.897445755704448,0.00090225,0,0,10
3,scheduled_lqi_dob_strict_qp,0.390732479936353,0.609267520063647,0.421318189054754,0.530111385302882,-0.469888614697118,0.0087026,0,0,10
4,scheduled_lqi,0.591652208905982,0.408347791094018,0.618016678164874,0.890699168759464,-0.109300831240536,5.47e-05,0,0,10
5,fixed_lqi_dob,0.621593293961425,0.378406706038575,0.624248839089736,1.00000000000001,-0.686540343200036,0.00094865,0,0,10
6,fixed_lqi,1,0,1,1,0,6.255e-05,0,0,10
