controller,case_id,disturbance,scale,noise_seed,validation_stage,equivalent_pose_rms,equivalent_pose_peak,recovery_time_s,translation_rms_x,translation_rms_y,translation_rms_z,translation_peak_x,translation_peak_y,translation_peak_z,rotation_rms_roll,rotation_rms_pitch,rotation_rms_yaw,rotation_peak_roll,rotation_peak_pitch,rotation_peak_yaw,min_leg_length_m,max_leg_length_m,max_leg_speed_mps,max_leg_acceleration_mps2,peak_force_n,peak_force_rate_nps,control_energy_n2s,controller_time_p95_s,qp_time_p95_s,dob_time_p95_s,infeasible_count,fallback_count,min_sigma,min_collision_margin_m,min_cbf_residual,length_violation_count,speed_violation_count,acceleration_violation_count,force_violation_count,force_rate_violation_count,collision_violation_count,singularity_violation_count,nonfinite_count,full_trajectory_completed,hard_constraints_passed,eligible,is_training,is_holdout
fixed_lqi,nominal,nominal,0,NaN,simscape_validation,0.00143529313681945,0.00293288497324076,0,0.000515681970221643,0.00077930711693524,0.000139332184667711,0.000797610647037261,0.00180451506775869,0.000281128674398556,0.000378962218423403,0.00203626734784924,0.000616136949944758,0.00067594476102803,0.00405100248421814,0.00156450947975639,1.07841594348455,1.9030569195718,0.27839610756345,0.168266438959064,1091.87494509686,511.622993491557,13218082.4479124,0,NaN,NaN,0,0,0.285324053071442,-0.00192628993233368,NaN,0,0,0,0,0,21,0,0,1,0,0,1,0
fixed_lqi,wrench_x0p5,wrench,0.5,NaN,simscape_validation,0.00389231406213561,0.0071856962959989,Inf,0.00241830564528057,0.00204345925897474,0.0004700622653147,0.00682945951395061,0.00361246151293815,0.0014030145213457,0.00126618545738857,0.00343366745829998,0.00249551424060667,0.00307078119668028,0.00636432171056395,0.00513734808215738,1.07841594348455,1.90042373008898,0.28361858035778,0.22085693058782,1081.7789395434,871.561805336473,13071147.1817045,0,NaN,NaN,0,0,0.286752759855414,-0.00283745549298342,NaN,0,0,0,0,0,25,0,0,1,0,0,0,1
fixed_lqi,smooth_target_x0p5,smooth_target,0.5,NaN,simscape_validation,0.00145090736882684,0.00295945885303485,Inf,0.000532364098854638,0.00078662156621142,0.000137880216670373,0.000859735691811608,0.00183318947333777,0.000279142221993378,0.000400280422164328,0.00205641361676469,0.000588798341345866,0.000744347294245842,0.00407756470002685,0.0015362140000198,1.07841594348455,1.90304776132646,0.27839610756345,0.363256528764249,1093.38439587252,2720.7303675557,13212003.7801924,0,NaN,NaN,0,0,0.28593116453035,-0.0019427653705849,NaN,0,0,0,0,0,21,0,0,1,0,0,0,1
fixed_lqi,wrench_smooth_target_x0p5,wrench_smooth_target,0.5,NaN,simscape_validation,0.00389119587836143,0.0071856962959989,Inf,0.00241037623710074,0.00205457614631233,0.00046895054020398,0.00682945951395061,0.00362155241859041,0.0014030145213457,0.00127206786903938,0.00344813079149356,0.00246036855334459,0.00307078119668028,0.00637057541775327,0.00507797156841072,1.07841594348455,1.90043416503756,0.28361858035778,0.36775580196992,1088.84025973227,2787.99728540169,13066055.4820943,0,NaN,NaN,0,0,0.287349661120441,-0.00284622948788315,NaN,0,0,0,0,0,26,0,0,1,0,0,0,1
fixed_lqi,target_noise_x0p5_s101,target_noise,0.5,101,simscape_validation,0.00151050865176628,0.00312105914934208,Inf,0.000524950084926352,0.000827247513663542,0.000145581652100069,0.000964463548144098,0.00192839453880983,0.000354133721907068,0.000450676570739595,0.00210834964673936,0.000744229609800661,0.00104683946161151,0.00424592152556624,0.00190419092391414,1.07841594348455,1.90283489510635,0.284597919128404,0.581118239312283,1102.8788368749,4111.89474961081,13214835.1160179,0,NaN,NaN,0,0,0.285458013596729,-0.00200461759233727,NaN,0,0,0,0,0,22,0,0,1,0,0,0,1
fixed_lqi,wrench_target_noise_x0p5_s101,wrench_target_noise,0.5,101,simscape_validation,0.00400136140393494,0.00718680316466317,Inf,0.00246118875435721,0.00213372852430379,0.000487840822886896,0.00681814040086348,0.00384687008286577,0.0013984507891445,0.00137594610799314,0.0035200485998349,0.00252322369765182,0.00322372768530645,0.00657953344043843,0.00546117987849049,1.07841594348455,1.90020760405864,0.284597919128404,0.572976075017827,1092.75515523324,3998.43707524989,13068741.4875037,0,NaN,NaN,0,0,0.286861828453733,-0.00291439843384366,NaN,0,0,0,0,0,26,0,0,1,0,0,0,1
fixed_lqi,target_noise_x0p5_s102,target_noise,0.5,102,simscape_validation,0.00142545138716763,0.00289097398962046,Inf,0.00053771197752347,0.000739796418451895,0.000149875256331646,0.000940606847825404,0.00174928901000782,0.000337850851955535,0.000365269030164566,0.00202620668995051,0.000673149016167451,0.000995210682734018,0.00400370089222885,0.00161683840808513,1.07841594348455,1.90307051896646,0.282918465668202,0.447891438838943,1106.92615650356,3145.51014071962,13216423.0199695,0,NaN,NaN,0,0,0.285158535337901,-0.00189870487200971,NaN,0,0,0,0,0,21,0,0,1,0,0,0,1
fixed_lqi,wrench_target_noise_x0p5_s102,wrench_target_noise,0.5,102,simscape_validation,0.00393834385647991,0.00717084922483492,Inf,0.00247494441322796,0.00204637591238791,0.000500228922216341,0.00684134499867806,0.00357947659984864,0.00142924764666613,0.00122088445465104,0.00343959571327032,0.00254320644328576,0.00295151422306261,0.00631123707905396,0.00519160370409599,1.07841594348455,1.90044258147305,0.283710063086162,0.447891438838943,1096.8006479901,3579.33675535652,13070241.8542945,0,NaN,NaN,0,0,0.286575769836112,-0.0028079055763449,NaN,0,0,0,0,0,26,0,0,1,0,0,0,1
fixed_lqi,target_noise_x0p5_s103,target_noise,0.5,103,simscape_validation,0.00135630775781522,0.00278072256306241,Inf,0.000529963570530933,0.0007119567099488,0.000119482701993666,0.000930700837088141,0.00174717747010117,0.000286443789692004,0.000435675988694233,0.00194770261479894,0.000408465979969935,0.000907187249050451,0.00388312964831822,0.00131783463432844,1.07841594348455,1.90334502711674,0.283597659248269,0.411944127043927,1107.2167908062,3580.09372351595,13232601.0164591,0,NaN,NaN,0,0,0.285286430808937,-0.00187975349422664,NaN,0,0,0,0,0,21,0,0,1,0,0,0,1
fixed_lqi,wrench_target_noise_x0p5_s103,wrench_target_noise,0.5,103,simscape_validation,0.00387615728200687,0.00725633501718207,Inf,0.00248646957209739,0.00202574837978554,0.000470333638588902,0.00686544717319366,0.00359813367914535,0.00139517163732431,0.00133075142656194,0.00336113481027029,0.00223621328953197,0.00316347566107261,0.00617519984196591,0.00471270133826074,1.07841594348455,1.90070771161404,0.288193102887879,0.411944127043927,1097.32074037443,3580.09372351595,13086065.3019428,0,NaN,NaN,0,0,0.286700424327598,-0.00279120280384648,NaN,0,0,0,0,0,25,0,0,1,0,0,0,1
fixed_lqi,target_noise_x0p5_s104,target_noise,0.5,104,simscape_validation,0.00141648567039184,0.00289276242352618,Inf,0.000553451505814008,0.000736300264162028,0.000141495803791403,0.00093682041713522,0.00178889374140834,0.000297428260652266,0.000407445008367328,0.00201260507860013,0.000579020843595008,0.000931454305520441,0.00401366799037456,0.00137551195661767,1.07841594348455,1.90313887039071,0.281948630779782,0.517130722180586,1117.71292707387,3195.11989485577,13222341.5068896,0,NaN,NaN,0,0,0.285111829063369,-0.00192272063257481,NaN,0,0,0,0,0,21,0,0,1,0,0,0,1
fixed_lqi,wrench_target_noise_x0p5_s104,wrench_target_noise,0.5,104,simscape_validation,0.00390732626540724,0.00724645422367445,Inf,0.00245038497524601,0.00204223949773517,0.000494751261478178,0.0069098293430068,0.003603921999216,0.00141151000475442,0.0012439504893775,0.00343491226780466,0.00245827766023421,0.00299022995787391,0.00632592167445001,0.00494689457850761,1.07841594348455,1.90050159031332,0.284962906863528,0.516859916460517,1107.50961556356,3093.73770660202,13075753.9411895,0,NaN,NaN,0,0,0.286518079731399,-0.00283475066991434,NaN,0,0,0,0,0,24,0,0,1,0,0,0,1
fixed_lqi,target_noise_x0p5_s105,target_noise,0.5,105,simscape_validation,0.00153809196377972,0.0030326174961079,Inf,0.000543561929699103,0.000783104546232147,0.000185728433813793,0.00097207319226271,0.00178032940660311,0.000387570480086863,0.000256284907163249,0.00214401340313893,0.00101370741251978,0.000699567522578229,0.00413918932006579,0.00232065726686226,1.07841594348455,1.9028387867194,0.284951336034378,0.42998854888806,1108.58378974103,3063.05753897973,13199410.5684498,0,NaN,NaN,0,0,0.28586217838768,-0.00193684471825916,NaN,0,0,0,0,0,21,0,0,1,0,0,0,1
fixed_lqi,wrench_target_noise_x0p5_s105,wrench_target_noise,0.5,105,simscape_validation,0.00403770740414777,0.00709843938558088,Inf,0.00245912614394771,0.0020980743424082,0.000525001044758475,0.00678960023777808,0.00361219771797466,0.00135541013015517,0.00111124021848856,0.00356677780499171,0.00289070784622142,0.00290250668639042,0.00647134792817972,0.00571695200369593,1.07841594348455,1.90021921013425,0.284951336034378,0.429039770595463,1098.65330868607,3046.93846921912,13053818.9318854,0,NaN,NaN,0,0,0.287295873041547,-0.00284449595567936,NaN,0,0,0,0,0,25,0,0,1,0,0,0,1
fixed_lqi,wrench_x1p0,wrench,1,NaN,simscape_validation,0.00757352484767405,0.0192775143859969,Inf,0.00523884107472692,0.00377003974378807,0.00109983540019607,0.018616934284443,0.00620281207013962,0.00466268382248652,0.00226419033642052,0.0052857314820827,0.0049894314063906,0.0056664623903443,0.00960961053598397,0.00977559639282788,1.07841594348455,1.89707291250373,0.29274415774847,0.890232713541825,1068.53229112794,4360,12890135.4247658,0,NaN,NaN,0,0,0.288638882005035,-0.00402130804718059,NaN,0,0,0,0,0,30,0,0,1,0,0,1,0
fixed_lqi,smooth_target_x1p0,smooth_target,1,NaN,simscape_validation,0.00146810252176341,0.00298866336497568,Inf,0.000547087435391427,0.000796502196311166,0.000136368902654105,0.000923743603228611,0.00186355418026518,0.000277130863837849,0.000425321540677127,0.00207648085129909,0.000565120664677467,0.000816416780896015,0.0041064638611637,0.00150892700979099,1.07841594348455,1.90303657138251,0.27839610756345,0.646675456434958,1123.43919515114,5724.70714200023,13206684.121611,0,NaN,NaN,0,0,0.286520514567286,-0.00196024902848879,NaN,0,0,0,0,0,22,0,0,1,0,0,1,0
fixed_lqi,wrench_smooth_target_x1p0,wrench_smooth_target,1,NaN,simscape_validation,0.00753018912934872,0.0192775143859969,Inf,0.00518663516883332,0.00379018266167377,0.00109050115731456,0.018616934284443,0.00617182497407809,0.00466268382248652,0.00225831357518678,0.00528607452444927,0.00489376973130123,0.0056664623903443,0.00956560030806747,0.00959040027753699,1.07841594348455,1.89714315399266,0.29274415774847,0.890232713541825,1112.90234578656,5687.07178506865,12883427.9139831,0,NaN,NaN,0,0,0.289785890058642,-0.00401813083458934,NaN,0,0,0,0,0,30,0,0,1,0,0,1,0
fixed_lqi,target_noise_x1p0_s101,target_noise,1,101,simscape_validation,0.00160611838789606,0.00331253559204297,Inf,0.000525525654017144,0.000885667483273106,0.000161879303660281,0.00112998051829932,0.0020877813075334,0.000442498371064748,0.000592361885119912,0.00216438573638941,0.000967393835662915,0.00176604373200318,0.00443950061254178,0.00263390592535218,1.07841594348455,1.90261897044354,0.291578577044515,1.10984859719387,1125.7772848443,7739.46647740085,13221587.954503,0,NaN,NaN,0,0,0.285296052873724,-0.00208381432195403,NaN,0,0,0,0,0,21,0,0,1,0,0,1,0
