方案键,方案,平移RMS_mm,平移峰值_mm,旋转RMS_deg,旋转峰值_deg,终点平移误差_mm,终点旋转误差_deg,输出力RMS_N,输出力峰值_N,PWM适用,PWM峰值,PWM饱和比例,PWM变化率RMS_每秒
pureForce,纯力控制,0.00707044834442903,0.0326726353442323,0.000993951962628894,0.00444760168481103,0.00421972687248325,0.000421359360060123,543.265884218568,1097.41695444997,0,NaN,NaN,NaN
oracle,高保真控制,0.156774405126734,0.444478206226892,0.0791134974668424,0.262998009131186,0.0791498105754934,0.0538556522318672,544.98672143513,1318.84047715246,1,3060.64515946584,0,18716.9624487943
identifiedTruthFeedback,真实位姿反馈辨识控制,0.337885680865208,0.990751136885273,0.365396909829064,0.744575422861969,0.663237711947303,0.735298313239183,543.710190586222,1305.36600156643,1,3224.03245520023,0,24944.0359459902
identified,UKF反馈辨识控制,1.64541744303214,7.46424973491129,0.375410195483274,1.10123212491112,1.10871064314894,1.10123212491112,545.338206778014,1440.26278748399,1,3385.812669701,0,25010.7485481653
