method,caseName,solverBackend,fatropStructure,N1,N2,numVariables,numZ,numEq,numIneq,solverStatus,solverSuccess,engineeringPassed,fatropComparisonValid,fatropStructureHealthy,buildTime_s,solveTime_s,totalTime_s,objective,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_hess_l,time_nlp_f,time_nlp_g,time_grad_f,time_jac_g,time_hess_l,hessianTimePct,jac_g_total_s,jac_g_avg_s,jac_g_pct_solve,casadi_eval_pct_solve,time_other_upper_bound,maxEqResidual,maxIneqViolation,objectiveStdAtX0,objectiveManualAtX0,absObjectiveDiffAtX0,maxManualGapResidualAtX0,maxManualMidResidualAtX0,maxManualHSResidualAtX0,maxManualDynResidualAtX0,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,maxMidConsistencyResidual,maxStage2LateralError,maxStage2HeightError,maxStage2AttitudeError,stage2Passed,fatrop_iterations_count,fatrop_eval_jac_count,fatrop_eval_obj_count,fatrop_eval_grad_count,fatrop_eval_cv_count,fatrop_return_flag,degenerateJacobianCount,failureReason
IHSID-STANDARD,IHSID-STANDARD-IPOPT,ipopt,,20,10,2744,2744,1360,3847,Solve_Succeeded,1,0,1,1,18.9991832,22.3584097,41.3575929,15.3976570749151,77,84,84,74,80,76,0.239,0.392,0.425,3.637,16.875,75.474956521617,3.637,0.0454625,16.2668098885405,96.4648214671547,0.790409700000001,1.01707215538482e-07,1.4884946386573e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0140115136124714,0.00499999999999992,64.6775884366052,1.12635595295174e-13,5.91024245603228e-12,8.70058469715218e-11,1.63353774951247e-11,5.56998891454441e-12,1,NaN,NaN,NaN,NaN,NaN,,0,"姹傝В瀹屾垚浣嗘湭閫氳繃缁熶竴宸ョ▼鍚庨獙楠岃瘉锛泂tage2Passed=1, maxDenseDynResidual=64.6776, minStage1Clearance_m=0.0140115, finalGap_m=0.005"
IHSID-MANUAL,IHSID-MANUAL-IPOPT,ipopt,,20,10,3640,3640,2080,3847,Solve_Succeeded,1,0,1,1,49.3584918,123.012304,172.3707958,16.1535208982347,136,161,161,276,138,136,0.655,0.743000000000001,2.95499999999999,21.67,95.176,77.3711221602678,21.67,0.157028985507246,17.6161239935803,98.5259165619726,1.81330399999996,9.64147384152625e-08,5.80247865311634e-08,0.314057033183583,0.314057033183583,0,0,NaN,NaN,NaN,0.00873799217909199,0.00499999999999992,91.825828053986,4.61332196402542e-11,1.14064219007559e-10,1.55492882458752e-09,1.68050962034982e-10,5.56630297410265e-11,1,NaN,NaN,NaN,NaN,NaN,,0,"姹傝В瀹屾垚浣嗘湭閫氳繃缁熶竴宸ョ▼鍚庨獙楠岃瘉锛泂tage2Passed=1, maxDenseDynResidual=91.8258, minStage1Clearance_m=0.00873799, finalGap_m=0.005"
IHSID-MANUAL,IHSID-MANUAL-FATROP,fatrop,manual,20,10,3640,3640,2080,3847,FAILED_DURING_SOLVE,0,0,1,1,50.7740055,0.032454,50.8064595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.314057033183583,0.314057033183583,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,,0,"Error in Function::call for 'solver' [FatropInterface] at .../casadi/core/function.cpp:1466: Error in Function::call for 'solver' [FatropInterface] at .../casadi/core/function.cpp:362: .../casadi/interfaces/fatrop/fatrop_interface.cpp:570: Fatrop option not supported: lbfgs_memory"
