profile,N1,N2,numVariables,numEq,numIneq,ngMax,ngSum,solverStatus,solverSuccess,solveTime_s,objective,maxEqResidual,maxIneqViolation,maxPathViolation,maxRoofViolation,maxLeftSideViolation,maxRightSideViolation,maxInsertionMonotonicViolation,maxSoftInsertionResidual,maxSoftSideCollisionResidual,degenerateJacobianCount,failureReason
full,4,2,193,78,469,85,475,1,0,93.0666416,13.8700829722237,0.501831423696682,0.538882835874594,0.327094909603367,0,0.538882835874594,0.150153292215657,0,0.0188047072079119,0,0,
full_stage2_side,4,2,193,78,453,85,459,1,0,18.9330382,1050.11086120383,178.555866024571,55.972436027892,55.9724360302544,0.0272112479913994,0,0,0,0.0359682287270077,0,0,
