轴,单位,测量重建RMS,UKF预测RMS,UKF校正RMS,测量重建峰值,UKF预测峰值,UKF校正峰值
x,毫米,1.31840072888081,0.37943434698876,0.373688152899731,4.8783234679355,0.770141779132708,0.759976383231969
y,毫米,1.73922989570245,0.111806762907337,0.109335216735517,7.3745612789427,0.406143499747936,0.398734599920941
z,毫米,0.898795866465593,0.070367637983891,0.0691319730191198,3.85116155308118,0.193613788276981,0.190369680036717
横滚,度,0.0981997973784516,0.00708938118536502,0.0070439123581961,0.333474945156855,0.0234936032049948,0.0233182995408709
俯仰,度,0.0984127771360519,0.00799585236221698,0.00797476074683706,0.379655140950432,0.0178561076281248,0.0180266710723768
航向,度,0.479691113377459,0.0136762181450609,0.0136159875754418,1.73422524462634,0.0322915289793382,0.0320461954354766
