误差工况,平移RMS毫米,平移峰值毫米,姿态RMS度,姿态峰值度
全部实际误差,0.228309917239507,0.759976383231969,0.00997678351530568,0.0320461954354766
无随机噪声基线,0.203965143333293,0.666533440492306,0.00843381352118405,0.0290455112427226
仅腿长噪声,0.227807641615365,0.747342717647072,0.00981777319019628,0.031794851309237
仅姿态噪声,0.20980589730696,0.68501950675702,0.0081704445420391,0.0282062769208492
仅加速度噪声,0.210388113622126,0.679242618974098,0.00848116895837214,0.0287680897245029
仅角速度噪声,0.200657995183586,0.643666930536677,0.00903553785278211,0.0304640279602252
