方法,平移RMS毫米,平移峰值毫米,姿态RMS度,姿态峰值度
测量重建,1.36270993753797,7.3745612789427,0.288346920197474,1.73422524462634
UKF 预测,0.231964638384126,0.770141779132708,0.0100205110205863,0.0322915289793382
UKF 校正,0.228309917239507,0.759976383231969,0.00997678351530568,0.0320461954354766
