caseName,method,solverBackend,fatropStructure,N1,N2,numVariables,numEq,numIneq,solverStatus,solverSuccess,engineeringPassed,fatropStructureHealthy,buildTime_s,solveTime_s,totalTime_s,objective,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_hess_l,time_hess_l,maxEqResidual,maxIneqViolation,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,stage2Passed,fatrop_return_flag,degenerateJacobianCount,failureReason
NATIVE-HS-IPOPT,FATROP_NATIVE_HS,ipopt,,20,10,913,466,2341,Maximum_Iterations_Exceeded,0,0,1,25.4283224,462.3885233,487.8168457,61.980561545093,60,144,144,66,63,59,349.639,5.00218761697133,8.09545979853527,-0.124377654713009,0.00499999999999992,1476.69025466153,5.00218761696811,0,,0,"求解完成但未通过统一工程后验验证：stage2Passed=0, maxDenseDynResidual=1476.69, minStage1Clearance_m=-0.124378, finalGap_m=0.005"
NATIVE-HS-FATROP,FATROP_NATIVE_HS,fatrop,manual,20,10,913,466,2341,1,0,0,0,28.3830356,228.5446365,256.9276721,29.1068192958209,0,131,72,31,31,30,176.736,0.902628067175613,0.969457808766156,0.035267775247254,0.00494106818869711,365.33039131466,0.902628067177152,0,1,30,"求解完成但未通过统一工程后验验证：stage2Passed=0, maxDenseDynResidual=365.33, minStage1Clearance_m=0.0352678, finalGap_m=0.00494107"
