caseName,method,solverBackend,fatropStructure,N1,N2,numVariables,numEq,numIneq,solverStatus,solverSuccess,engineeringPassed,fatropStructureHealthy,buildTime_s,solveTime_s,totalTime_s,objective,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_hess_l,time_hess_l,maxEqResidual,maxIneqViolation,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,stage2Passed,fatrop_return_flag,degenerateJacobianCount,failureReason
NATIVE-HS-IPOPT,FATROP_NATIVE_HS,ipopt,,2,1,102,57,274,Maximum_Iterations_Exceeded,0,0,1,6.5297397,2.105152,8.6348917,0.871301410418376,5,8,8,14,7,5,1.808,1.08259165891752,0.538882835874594,0.00136587201138116,0.00499999999999992,40.1876111847243,1.08259165891742,0,,0,"求解完成但未通过统一工程后验验证：stage2Passed=0, maxDenseDynResidual=40.1876, minStage1Clearance_m=0.00136587, finalGap_m=0.005"
NATIVE-HS-FATROP,FATROP_NATIVE_HS,fatrop,,2,1,NaN,NaN,NaN,FAILED_AT_INITIALIZATION,0,0,1,8.3408313,NaN,8.3408313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,NaN,".../casadi/core/function_internal.cpp:152: Error calling FatropInterface::init for 'solver': .../casadi/core/sparsity_internal.cpp:2199: Assertion ""in_range(rr, -size1()+ind1, size1()+ind1)"" failed: Out of bounds error. Got elements in range [323,366], which is outside the range [-331,331)."
