profile,N1,N2,numVariables,numEq,numIneq,ngMax,ngSum,solverStatus,solverSuccess,solveTime_s,objective,maxEqResidual,maxIneqViolation,degenerateJacobianCount,failureReason
no_insertion,4,2,193,78,465,83,471,1,0,37.5247444,118.934772241365,28.3256587888843,20.1903623760231,0,
full,4,2,193,78,469,85,475,1,0,38.0965695,11.6194118873757,7.24295666516579,0.538882835874594,0,
full_hard,4,2,193,98,469,95,495,1,0,37.8186352,121839.605212767,137.253508164952,654.095953555497,20,
