method,methodName,N1,N2,gridApproach,gridInsertion,h,numZ,numVariables,numEq,numIneq,solverStatus,ipoptStatus,solverSuccess,successFlag,engineeringPassed,buildTime_s,solveTime_s,totalTime_s,solveTime,iterations,iterCount,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_h,time_nlp_f,time_nlp_g,time_grad_f,time_jac_g,time_hess_l,time_other_upper_bound,jac_g_total_s,jac_g_avg_s,jac_g_pct_solve,casadi_eval_pct_solve,objectiveTotal,objective,nominalCost,powerCost,legAccelCost,singularityCost,forceRateCost,objectiveForce,objectiveLegAccel,objectiveSingularity,maxEqResidual,maxIneqViolation,minStage1Clearance_m,minStage1Clearance,minStage1Gap,minDenseGap,finalGap_m,maxDynResidual,maxDefectResidual,minSigmaMin,maxCondJ,maxAbsLegSpeed,maxAbsLegAccel,maxAbsForce,maxLegSpeedViolation,maxLegAccelViolation,maxPathViolation,maxForceViolation,minSigma,maxStage2LateralError,maxStage2HeightError,maxStage2AttitudeError,maxInsertionBackwardSpeedViolation,stage2Passed,denseSampleCount,dynamicsEvalCountEstimate,maxDenseDynResidual,maxHSDefectResidual,maxMidConsistencyResidual,ipoptLinearSolver,ipoptHessianApproximation,ipoptTol,ipoptConstrViolTol,ipoptMaxIter,failureReason
CHSID,CHSID,20,10,20,10,0.25,2384,2384,1000,3847,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,18.0436087,29.8244604,47.8680691,29.8244604,207,207,207,380,380,192,210,NaN,1,1.71299999999999,1.309,23.394,NaN,2.40846039999999,23.394,0.1114,78.4389715228511,91.9245466047057,0.27544267545717,0.27544267545717,0.00916871597257953,0.0741968619263274,0.0323745493445297,0.0801096112065581,0.079592937007175,0.153789798933502,0.0323745493445297,0.0801096112065581,9.32675902731717e-07,-0,0.0351197674191288,0.0351197674191288,0.0351197674191288,0.00500000000000012,0.00499999999999992,3.38706631099262,2.9163164938506e-12,0.284550730924,8.33072957765861,0.27719599122086,0.198284163680384,1103.07060310772,0,0,0,0,0.284550730924,1.7156387421835e-09,1.03706432330597e-10,1.32182098599998e-10,-0,1,601,61,3.38706631099262,2.9163164938506e-12,NaN,ma27,limited-memory,1e-06,1e-06,300,
IHSID,IHSID,20,10,20,10,0.25,2744,2744,1360,3847,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,15.6324817,15.4747729,31.1072546,15.4747729,185,185,185,308,308,187,187,NaN,0.878000000000001,1.455,1.295,9.988,NaN,1.85877290000001,9.988,0.0534117647058823,64.5437581833592,87.9883671830815,0.275360058177391,0.275360058177391,0.0089898713738654,0.0743237047320899,0.0323025674293626,0.0801214640103385,0.0796224506317347,0.153946155363825,0.0323025674293626,0.0801214640103385,9.13623352971627e-07,-0,0.0350377317845063,0.0350377317845063,0.0350377317845063,0.00500000000000012,0.00499999999999992,3.25568091394439,9.77789030298659e-13,0.284552617115475,8.33067479371384,0.277900980997028,0.196246785836984,1103.04031291838,0,0,0,0,0.284552617115475,4.9987827765996e-10,7.13699987997529e-10,3.09811065690724e-10,-0,1,601,61,3.25568091394439,9.77789030298659e-13,5.38326632619837e-11,ma27,limited-memory,1e-06,1e-06,300,
DMSID,DMSID,20,10,20,10,0.25,2384,2384,1000,3847,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,0,17.7148299,31.8892186,49.6040485,31.8892186,195,195,195,341,341,197,197,NaN,0.977000000000001,1.65999999999999,1.413,25.544,NaN,2.29521860000001,25.544,0.129664974619289,80.1023076808787,92.8025248006547,0.272900193311481,0.272900193311481,0.0109708246885803,0.0727839612747655,0.0306412623752564,0.0799048806316563,0.0785992643412224,0.151383225615988,0.0306412623752564,0.0799048806316563,5.07157892570831e-07,-0,0.0350303178693889,0.0350303178693889,0.0350303178693889,0.0050000000000161,0.00499999999999992,0.069798408242126,2.6999236180103e-13,0.284667733269181,8.32753954117229,0.275274364879343,0.163160763596757,1103.61853505867,0,0,0,0,0.284667733269181,1.22000153341684e-05,6.78515116852019e-05,0.000105185189867019,0,0,601,301,0.069798408242126,2.6999236180103e-13,NaN,ma27,limited-memory,1e-06,1e-06,300,求解完成但未通过统一工程后验验证
CHSID,CHSID,40,20,40,20,0.125,4744,4744,1980,7627,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,36.9786342,76.1889558,113.16759,76.1889558,184,184,184,447,447,175,187,NaN,3.08999999999999,5.15799999999998,3.167,58.7600000000001,NaN,6.01395579999998,58.7600000000001,0.314224598930482,77.1240390198392,92.1065254972296,0.274272537244298,0.274272537244298,0.00992507253632149,0.0735407707359062,0.0315568242965392,0.08000340936601,0.0792464603095213,0.152787231045428,0.0315568242965392,0.08000340936601,1.67865437106229e-08,-0,0.0350564041671798,0.0350564041671798,0.0350564041671798,0.00500000000000012,0.00499999999999992,4.10432699969942,8.81425141208148e-13,0.284545412895114,8.33091143966878,0.276120901427644,0.220043517170175,1103.34809328645,0,0,0,0,0.284545412895114,1.27207938627194e-10,9.98602200930065e-10,1.09887854371493e-09,-0,1,1201,121,4.10432699969942,8.81425141208148e-13,NaN,ma27,limited-memory,1e-06,1e-06,300,
IHSID,IHSID,40,20,40,20,0.125,5464,5464,2700,7627,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,32.5149972,63.4159038,95.930901,63.4159038,288,288,288,510,510,290,290,NaN,3.55599999999998,6.08199999999998,5.38,41.259,NaN,7.13890380000003,41.259,0.142272413793104,65.0609666151285,88.7427232409798,0.274473337995522,0.274473337995522,0.0099754433352194,0.0733848398140279,0.0320140222956046,0.0800008273386122,0.0790982052120581,0.152483045026086,0.0320140222956046,0.0800008273386122,2.31743115364225e-07,-0,0.0351031851922512,0.0351031851922512,0.0351031851922512,0.00500000000000012,0.00499999999999992,4.33708507830761,1.11680803493996e-12,0.284561062492936,8.33048134559976,0.276724671551809,0.221892668666184,1101.72130051838,0,0,0,0,0.284561062492936,3.82379350405415e-10,3.45397116463531e-09,2.43560716040037e-09,-0,1,1201,121,4.33708507830761,1.11680803493996e-12,1.18531473563199e-10,ma27,limited-memory,1e-06,1e-06,300,
DMSID,DMSID,40,20,40,20,0.125,4744,4744,1980,7627,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,0,0,0,37.9773585,120.0386819,158.0160404,120.0386819,300,300,300,531,531,302,302,NaN,3.53399999999998,6.06999999999997,5.14499999999999,97.001,NaN,8.28868190000004,97.001,0.321195364238411,80.8081182370931,93.0949909072602,0.273734889580236,0.273734889580236,0.0101852410190709,0.0732211399277698,0.0316432366847434,0.0799561130589936,0.0787291588896585,0.151950298817428,0.0316432366847434,0.0799561130589936,0.000471017593326906,-0,0.0350341705020854,0.0350341705020854,0.0350341705020854,0.00499999999991152,0.00499999999999992,0.0165448549307869,3.15135938178113e-13,0.284650199956249,8.32799926899385,0.275607082475661,0.166270259159542,1098.96058911535,0,0,0,0,0.284650199956249,2.75630964205464e-06,1.79267462825372e-05,2.60947767128927e-05,0,0,1201,601,0.0165448549307869,3.15135938178113e-13,NaN,ma27,limited-memory,1e-06,1e-06,300,求解完成但未通过统一工程后验验证
CHSID,CHSID,60,30,60,30,0.0833333333333333,7104,7104,2960,11407,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,0,0,0,56.6967741,174.1142563,230.8110304,174.1142563,300,300,300,547,547,289,303,NaN,5.16799999999999,8.49799999999997,7.45999999999999,136.526,NaN,16.4622563000001,136.526,0.450580858085808,78.411729689018,90.5451416501843,66.2658967223326,66.2658967223326,52.6728782801302,1.1668080631906,1.45686094798117,2.07009954890475,8.89924988212593,10.0660579453165,1.45686094798117,2.07009954890475,0.207247729567233,-0,0.0354999615593417,0.0354999615593417,0.0354999615593417,0.00500000000000012,0.00499999999999992,117.346599706647,5.53533675615885e-07,6.39458635458649e-05,37211.7413401555,0.57660187382074,1.40590612791671,1839.69843189679,0.205906127916707,0.205906127916707,0.205906127916707,0,6.39458635458649e-05,2.10742293981214e-05,7.07330723043187e-06,5.13223629684811e-06,-0,0,1801,181,117.346599706647,5.53533675615885e-07,NaN,ma27,limited-memory,1e-06,1e-06,300,求解完成但未通过统一工程后验验证
IHSID,IHSID,60,30,60,30,0.0833333333333333,8184,8184,4040,11407,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,50.0404511,80.7428217,130.7832728,80.7428217,238,238,238,417,417,240,240,NaN,4.08599999999999,6.80099999999999,6.749,51.52,NaN,11.5868217,51.52,0.214666666666667,63.8075297782168,85.649719125434,0.275462667220647,0.275462667220647,0.00897184648271689,0.074255823138791,0.0324422731712466,0.080119267394575,0.079673457033318,0.153929280172109,0.0324422731712466,0.080119267394575,5.06986680193222e-07,-0,0.0350053786056996,0.0350053786056996,0.0350053786056996,0.00500000000000012,0.00499999999999992,3.96520412599421,2.1457956939086e-12,0.284563459417808,8.33043674835746,0.278214253737018,0.217845283217717,1098.52436325295,0,0,0,0,0.284563459417808,1.3794129033462e-09,3.31526184282893e-09,2.32769292729529e-09,-0,1,1801,181,3.96520412599421,2.1457956939086e-12,1.5256068774277e-10,ma27,limited-memory,1e-06,1e-06,300,
DMSID,DMSID,60,30,60,30,0.0833333333333333,7104,7104,2960,11407,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,0,57.8004986,156.6281051,214.4286037,156.6281051,249,249,249,445,445,251,251,NaN,4.39499999999998,7.41699999999998,6.451,124.495,NaN,13.8701050999999,124.495,0.495996015936255,79.4844577354209,91.1445617686912,0.274521618136015,0.274521618136015,0.00928752031006888,0.0739744057781442,0.0316755354698901,0.080085910270759,0.0794982463071524,0.153472652085297,0.0316755354698901,0.080085910270759,4.87186071040924e-07,-0,0.0350426721068503,0.0350426721068503,0.0350426721068503,0.0049999999999979,0.00499999999999992,0.0063295997719065,4.65141813954517e-13,0.284623868296132,8.32872674175141,0.277607173645931,0.168096308184574,1097.32444373452,0,0,0,0,0.284623868296132,9.7828543735301e-07,7.20896560213458e-06,1.01837317433295e-05,6.1532316230546e-16,0,1801,901,0.0063295997719065,4.65141813954517e-13,NaN,ma27,limited-memory,1e-06,1e-06,300,求解完成但未通过统一工程后验验证
