configuration,GroupCount,mean_translationRmsMm,max_translationRmsMm,mean_translationPeakMm,max_translationPeakMm,mean_rotationPeakDeg,max_rotationPeakDeg,mean_forceTrackingNrmse,max_forceTrackingNrmse,mean_maxAbsPwm,max_maxAbsPwm
整定前,5,2.01888930184888,2.46065181761658,8.80261418746363,11.1325190362092,1.34100334181608,2.02186163844675,0.0285052549168295,0.03006055504676,4198,4198
稳健联合整定后,5,1.13435045204497,1.57782776922921,7.39146544057946,9.08711891391142,1.05634849708215,1.2803392552117,0.0149968809896059,0.0162736169531233,3600.39177978681,3933.61112694872
