configuration,seed,translationRmsMm,translationPeakMm,rotationRmsDeg,rotationPeakDeg,forceTrackingNrmse,maxAbsPwm
整定前,7,1.74650080893889,7.4831081230816,0.278357759173855,1.05295559856987,0.0282128753253311,4198
整定前,19,1.79318746404263,6.93697067498419,0.352104026176207,2.02186163844675,0.03006055504676,4198
整定前,41,1.77079975489794,8.65823290234997,0.216200924570704,0.845397829014647,0.0275790645509259,4198
整定前,73,2.46065181761658,9.80224020069317,0.305332121410089,1.35620751957814,0.0281647275825679,4198
整定前,101,2.32330666374834,11.1325190362092,0.302694495116907,1.428594123471,0.0285090520785628,4198
稳健联合整定后,7,0.851279825190682,5.70218593016163,0.217360009053138,0.741246074299082,0.013842406524713,3342.24791672718
稳健联合整定后,19,1.25982312702294,7.15395350242327,0.321682022405312,1.2506768421875,0.0154074180548466,3647.84561422595
稳健联合整定后,41,0.949982203663911,7.45715421075842,0.216743177418798,0.961909216165093,0.0134462031922694,3385.812669701
稳健联合整定后,73,1.57782776922921,9.08711891391142,0.347249982606105,1.2803392552117,0.0162736169531233,3692.44157133119
稳健联合整定后,101,1.03283933511809,7.55691464564254,0.258429140902176,1.04757109754735,0.0160147602230771,3933.61112694872
