axis,unit,measurementRms,measurementPeak,predictionRms,predictionPeak,ukfRms,ukfPeak,controlTrackingRms,controlTrackingPeak
x,mm,0.704178692157023,2.74569587572187,0.378494571442113,0.781166521576136,0.372572740068184,0.771777266006937,1.1506667180973,4.89165223814367
y,mm,0.83675097638838,3.3098265679441,0.116439903523614,0.377862654824877,0.114560045044236,0.383093432806311,2.63063470008071,8.65823290234997
z,mm,0.274052395457663,1.02683605253762,0.0737355759815331,0.220571573979811,0.0724818571057746,0.214010253861696,1.0783888419463,4.54145733795075
roll,deg,0.00539889922675033,0.0183331250014364,0.00810641065900849,0.0257690891007149,0.00806423865106859,0.0258176175496587,0.180873362608677,0.680635867287511
pitch,deg,0.00541593225921576,0.0208519020504526,0.00803343719760437,0.0215457274292263,0.0080120173225132,0.0213408501513585,0.276101218149405,0.845397829014647
yaw,deg,0.00527605322435361,0.0190637637858059,0.0148519613580209,0.03609488035957,0.0148132964351797,0.035997919213892,0.176865664815776,0.763139289507119
