method,caseName,solverBackend,fatropStructure,N1,N2,numVariables,numZ,numEq,numIneq,solverStatus,solverSuccess,engineeringPassed,buildTime_s,solveTime_s,totalTime_s,objective,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,time_nlp_f,time_nlp_g,time_grad_f,time_jac_g,jac_g_total_s,jac_g_avg_s,jac_g_pct_solve,casadi_eval_pct_solve,time_other_upper_bound,maxEqResidual,maxIneqViolation,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,maxMidConsistencyResidual,maxStage2LateralError,maxStage2HeightError,maxStage2AttitudeError,stage2Passed,fatrop_iterations_count,fatrop_eval_jac_count,fatrop_eval_obj_count,fatrop_eval_grad_count,fatrop_eval_cv_count,fatrop_return_flag,failureReason
IHSID,IHSID-IPOPT,ipopt,,20,10,2744,2744,1360,3847,Solved_To_Acceptable_Level,1,1,15.3202932,16.815871,32.1361642,0.275360058177391,185,308,308,187,187,0.856000000000001,1.434,1.435,11.055,11.055,0.0591176470588235,65.741465309766,87.8931576009354,2.035871,9.13623352971627e-07,-0,0.0350377317845063,0.00499999999999992,3.25568091394439,9.77789030298659e-13,5.38326632619837e-11,4.9987827765996e-10,7.13699987997529e-10,3.09811065690724e-10,1,NaN,NaN,NaN,NaN,NaN,,""
IHSID,IHSID-FATROP-manual,fatrop,manual,20,10,3720,3720,2080,3847,0,1,0,49.7431766,435.6502235,485.3934001,12.222179887757,340,1563,955,322,353,7.13699999999991,4.74999999999996,3.98999999999999,69.428,69.428,0.196679886685552,15.9366382145331,19.5810756883498,350.3452235,9.88602355533885e-09,9.99989955364197e-09,0.0135755283116641,0.00499999999999992,157.307563222064,6.49932892227145e-09,3.24967678200921e-09,4.69530747615465e-10,5.91360405088892e-10,5.05550601381799e-11,1,340,322,1536,322,901,0,"求解完成但未通过统一工程后验验证；stage2Passed=1, maxDenseDynResidual=157.308, minStage1Clearance_m=0.0135755, finalGap_m=0.005"
