profile,N1,N2,numVariables,numEq,numIneq,ngMax,ngSum,solverStatus,solverSuccess,solveTime_s,objective,maxEqResidual,maxIneqViolation,maxPathViolation,maxRoofViolation,maxLeftSideViolation,maxRightSideViolation,maxInsertionMonotonicViolation,maxSoftInsertionResidual,maxSoftSideCollisionResidual,degenerateJacobianCount,failureReason
full,4,2,193,78,469,85,475,1,0,94.8429668,13.8700829722237,0.501831423696682,0.538882835874594,0.327094909603367,0,0.538882835874594,0.150153292215657,0,0.0188047072079119,0,0,
full_masked_side,4,2,193,78,455,85,461,1,0,94.8314209,628.230689425099,169.6801316259,27.6587872626337,27.6587872624865,0.156412805289784,0.0283222964660975,0,0.0049761309226226,0.108093751786859,0,0,
